id,title,author,day,genre,story,platform
501,여의주,운/김한석,토,"드라마, 정치, 도전",취업 포기! 정치 도전! 당신의 정치는 무엇입니까? ,다음 웹툰
502,반지하셋방,평범한 자매,토,"일상, 코믹, 자매",반지하에 살고 있는 자매의 좌충우돌 일상툰,다음 웹툰
503,멀리서 보면 푸른 봄,지늉,토,"드라마, 로맨스, 대학생",왜 사람들은 해피엔딩이 아닌 걸 보고 현실적이라고 말할까? 고단한 청춘들의 하드보일드 드라마,다음 웹툰
504,레드스톰,노경찬/암현,토,"액션, 무협, 무장","사막의 찐득찐득한 모래바람과, 그곳을 질주하는 전사들의 이야기",다음 웹툰
505,크라우드,만두비/파크,일,"학원, 액션, 일진","왕따 규현을 구해줄 마지막 희망, 일진 크라우드 펀딩 앱 ‘울타리’",다음 웹툰
506,질투유발자들,김꽁,일,"로맨스, 썸, 사랑","썸말고 하고 싶어. 썸만 타는 자들을 위해 그들이 왔다, 질투유발자들!",다음 웹툰
507,퍼펙트 마인,나리온,일,"로맨스, 집착, 삼각관계",죽을 만큼 날 사랑할 수 있는 '진짜 나의 것'을 향한 일그러진 학원로맨스,다음 웹툰
508,미래의 사진,낑깡,일,"로맨스, 미스터리, 미래",어느날 우연히 주운 카메라에 미래가 찍힌다?!,다음 웹툰
509,내 친구는 선녀보살,챰,일,"미스터리, 드라마, 무당",고등학생 무당이자 sns 스타인 김선녀가 펼치는 기이하고 신비한 이야기.,다음 웹툰
510,형제가 사랑한 마녀,복숭아,일,"로맨스, 드라마, 마녀","묘약으로 시작된 기간한정 , 두 형제를 사로 잡아버린 마녀의 후예",다음 웹툰
511,음란마귀지만 괜찮아!,모가비,일,"로맨스, 코믹, 썸",음란하면 안돼? 야한상상만 하면 남자친구와의 관계가 깨지는 그녀의 러브 스토리,다음 웹툰
512,남궁세가 소공자,기성욱/남사랑/Rose Studio,일,"무협, 드라마, 무림",이세계를 평정하고 무림으로 돌아온 남궁서휘. 힘을 감춘 그의 행보가 무림을 흔든다.,다음 웹툰
513,세로토닌,강희석,일,"스릴러, 공포, 좀비","좀비 때문에 세상이 망했다. 잘 됐다, 새로운 인생 시작이다.",다음 웹툰
514,나 홀로 버그로 꿀빠는 플레이어,청초/키민트,일,"액션, 판타지, 게임","성공할 수 있다면, 버그든 무엇이든 OK! 초고도비만 영주의 현생 도전기.",다음 웹툰
515,씨방것들,오청,일,"드라마, 로맨스, 현실반영","관종 패밀리의 막내, 첫사랑은 연예인! 그래도 평범하게 살고 싶어!",다음 웹툰
516,내일도 출근!,맥퀸스튜디오,일,"로맨스, 드라마",회사 최악의 까칠남 VS 결혼은 싫다며 도망간 전남친. 둘 중 누구를 선택해야지?!,다음 웹툰
517,대마법사의 딸,문설아/새벽애,일,"판타지, 로맨스, 육아",줄곧 나를 미워한 부모님은 친부모님이 아니었다. 내게 진짜 아빠가 따로 있다고 한다. 그래서 떠났다. 친아빠에게로.,다음 웹툰
518,하렘생존기,오리발,일,"드라마, 로맨스, 음모","17세기 오스만 제국 왕궁 하렘에서 벌어지는 나스챠와 아샤, 두 소녀의 우정과 욕망 이야기.",다음 웹툰
519,바니와 오빠들,니은,일,"로맨스, 코믹","흑역사 첫 를 끝낸 뒤, 자꾸만 남자들이 꼬이는 중! 누가 똥차고 누가 벤츠일까?",다음 웹툰
520,당신도 보정해 드릴까요?,은,일,"드라마, 판타지, 마법",사진을 보정하면 뭐든지 가능한 ‘마법의 타블렛'을 갖게 된 한 사진작가의 이야기,다음 웹툰
521,하필 너야?!,임자,일,"드라마, 로맨스, 고양이",불의의 사고로 고양이가 된 그녀. 운명의 그를 만나고 사람이 될 수 있을까?,다음 웹툰
522,유색의 멜랑꼴리,비나리,일,"드라마, 일상, 가족",“이 결혼 용납 못 해!”  떨어지는 꽃잎 사이로 벌어진 난투극. 34살 유도완의 결혼식은 그렇게 망했다.,다음 웹툰
523,요괴백정,좌서방,일,"액션, 판타지, 도깨비",어머니의 복수를 위해 도깨비의 팔을 달고 요괴들을 사냥하는 요괴백정의 액션활극!,다음 웹툰
524,슬프게도 이게 내 인생,슬,일,"코믹, 일상, 직장생활",어? 사회생활이 원래 이런가? 천방지축 사회초년생 슬이의 다이나믹 인생!,다음 웹툰
525,취향저격 그녀,로즈옹,일,"로맨스, 드라마, 사랑",그의 심장을 저격하기 위해 뭉친 둘의 비밀스런 동거 라이프!,다음 웹툰
526,버닝 이펙트,박태현,일,"액션, 판타지, 갱스터",'죄를 짓는 자는 죽는다.' 법을 집행하는 자와 세상을 뒤엎으려는 자들의 치열한 싸움,다음 웹툰
527,조우,최희선,일,"스릴러, 공포, 범죄","누구나 맞닥뜨릴 수 있는, 하지만 결국은 남의 일로 치부해 버리는.",다음 웹툰
528,N번째 연애,율로,완결,"로맨스, 드라마",몇 번의 연애를 거쳐야 인연이 나타날까? 청춘 끝자락에서 진정한 사랑을 찾아가는 이야기,다음 웹툰
529,그대를 사랑합니다,강풀,완결,"로맨스, 부부","순정 만화 3번째, 강풀의 손 끝에서 나오는 어른들의 사랑 이야기",다음 웹툰
530,미생,윤태호,완결,"드라마, 직장생활, 사회초년생",자신의 삶을 승리하기 위해 한 수 한 수 돌을 잇는 사람들의 이야기,다음 웹툰
531,발자국이 녹기 전에,서결,완결,"드라마, 로맨스","가상의 조선, 세상에 의한 아픔을 가진 사람들의 사랑 이야기",다음 웹툰
532,밤에 사는 소녀,문홍조,완결,"드라마, 학원, 성장드라마",암울한 태생의 두 소녀에게서 일어나는 일들과 그들의 행복에 관한 이야기,다음 웹툰
533,사랑스러운 복희씨,김인정,완결,"로맨스, 드라마, 짝사랑",언젠가는 이 사랑이 이루어질까요? 조금은 서투른 그들의 짝사랑 탈출기,다음 웹툰
534,순정만화,강풀,완결,"로맨스, 드라마",강풀 작가의 대표 작품인 '순정만화'. 2004년 최고의 히트 작품,다음 웹툰
535,아쿠아맨,맥퀸스튜디오,완결,"드라마, 로맨스, 솔로",누군가 내 연애를 자꾸 방해한다! 그게 내 친구라면? 신나루의 모태솔로 해방기!,다음 웹툰
536,어쩌다 발견한 7월,무류,완결,"로맨스, 판타지, 첫사랑",할 수 있는 게 이것 밖에 없었어. 단지 너를 만나러 가는 것,다음 웹툰
537,우리 남매의 일상은,손달섭,완결,"코믹, 일상, 남매",대한민국 어디에나 있을 법한 남매들의 화려한 일상!,다음 웹툰
538,우리 집에 왜 왔니,이윤희,완결,"드라마, 로맨스",바쁜 일상을 살아가는 회사원 서재희 앞에 나타난 낯설기만 한 그 녀석. 그 녀석에 대한 선입견을 벗겨라!,다음 웹툰
539,은밀하게 위대하게,Hun,완결,"액션, 간첩, 북한","천재 남파 간첩, 그의 임무는 동네 바보형?",다음 웹툰
