id,title,day,thumbnail
236,닥터 프로스트 시즌 3~4,금,https://shared-comic.pstatic.net/thumb/webtoon/655749/thumbnail/thumbnail_IMAG06_ebb14161-7054-41c6-9a69-6b4af65c8169.jpg
237,도롱이,금,https://shared-comic.pstatic.net/thumb/webtoon/737839/thumbnail/thumbnail_IMAG06_1412261b-3cfd-4578-bb51-33dff0db5907.jpg
238,후덜덜덜 남극전자,금,https://shared-comic.pstatic.net/thumb/webtoon/732036/thumbnail/thumbnail_IMAG06_96842149-9b75-42ee-b755-1e8759c6f0e2.jpg
239,매지컬 메디컬,금,https://shared-comic.pstatic.net/thumb/webtoon/753806/thumbnail/thumbnail_IMAG06_90678d5d-436d-48e1-a62f-62ac9433b368.jpg
240,너의 미소가 함정,금,https://shared-comic.pstatic.net/thumb/webtoon/741467/thumbnail/thumbnail_IMAG06_8171697b-0bb3-4efa-8ae3-9f133e422a14.jpg
241,구독금지,금,https://shared-comic.pstatic.net/thumb/webtoon/730466/thumbnail/thumbnail_IMAG06_4c54a6fa-0ebe-4f4c-b5d5-74aea29862bb.jpg
242,사우러스,금,https://shared-comic.pstatic.net/thumb/webtoon/726211/thumbnail/thumbnail_IMAG06_a581b33e-de6f-4dda-a1c4-4f559dba50ab.jpg
243,버그,금,https://shared-comic.pstatic.net/thumb/webtoon/724431/thumbnail/thumbnail_IMAG06_00e13350-e9f5-4668-8abd-24467198e013.jpg
244,트럼프,금,https://shared-comic.pstatic.net/thumb/webtoon/524520/thumbnail/thumbnail_IMAG06_b25e134b-96fa-421c-aa81-af39b5f9fc5b.jpg
245,개미,금,https://shared-comic.pstatic.net/thumb/webtoon/740386/thumbnail/thumbnail_IMAG06_7615bb58-d135-46ba-b4ae-55221480ce5b.jpg
246,9등급 뒤집기,금,https://shared-comic.pstatic.net/thumb/webtoon/737831/thumbnail/thumbnail_IMAG06_3c42d31f-46b0-45dd-87d4-5298799e8f05.jpg
247,몽홀,금,https://shared-comic.pstatic.net/thumb/webtoon/644112/thumbnail/title_thumbnail_20150105174647_t125x101.jpg
248,감히,금,https://shared-comic.pstatic.net/thumb/webtoon/738177/thumbnail/thumbnail_IMAG06_60f22826-067c-47d8-be70-b3f9a0268f5e.jpg
